id,name,birthday,birth city,birth state,position,draft year,draft round,draft pick,draft team,teams,colleges,high schools,url,league
31f542cd-2406-4c4a-ac53-2a16f4a72f30,Cam Ward,05-25-2002,West Columbia,TX,QB,2025,1,1,TEN,[],"['57c39d78-42cd-44ba-afd6-daf774f16e4a', 'da280321-9855-4ca0-ac49-6bd8f06a0fb8', 'db39bc17-a4fb-4048-b9c5-4dbabd7f929b']",['77966508-3337-4e90-9626-02fdbb213212'],https://www.pro-football-reference.com/players/W/WardCa00.htm,NFL
088f221c-5a09-4d88-b608-2fbb62c0a20e,Travis Hunter,05-18-2003,West Palm Beach,FL,WR,2025,1,2,JAX,[],"['ef9bf3fb-e213-4df0-8e74-5c71f0756acf', 'ab9198ab-9624-423d-bf0c-025df6fd63db']",['f41a34d3-72af-463d-a96d-d1808c8c219b'],https://www.pro-football-reference.com/players/H/HuntTr00.htm,NFL
4a70f243-dcef-4f82-b1eb-8274662e1fe9,Abdul Carter,10-03-2003,Philadelphia,PA,DE,2025,1,3,NYG,[],['5dd52c43-cfcc-4b7d-99fc-20541456fdd4'],['abf6158d-4f63-4d58-aec4-2139712645d0'],https://www.pro-football-reference.com/players/C/CartAb00.htm,NFL
dcd45b23-5d36-4da3-be64-e131fde7fd4b,Will Campbell,01-06-2004,Monroe,LA,OT,2025,1,4,NWE,[],['c85c7af1-b6a5-45c5-9089-3ace773dda26'],['cf65f778-2a46-4f8e-a8ea-5838c6352578'],https://www.pro-football-reference.com/players/C/CampWi01.htm,NFL
9e0b2932-1749-45e7-a404-b0a0bdb3fc5e,Mason Graham,09-02-2003,,CA,DT,2025,1,5,CLE,[],['2fa864a6-4599-49ac-a4de-27b015f162e3'],['12089bb1-5b8d-4747-87cc-2d512cde787e'],https://www.pro-football-reference.com/players/G/GrahMa00.htm,NFL
b2b76126-9c6c-4664-804d-304e4c201517,Ashton Jeanty,12-02-2003,Jacksonville,FL,RB,2025,1,6,LVR,[],['11147b6a-cf72-41da-ae69-acd1abc644d0'],['07e31504-8ecd-4e4e-a7e1-8b62c7c3fb97'],https://www.pro-football-reference.com/players/J/JeanAs00.htm,NFL
3c71a1ee-7e52-4498-88e1-e7b42ee8e60c,Armand Membou,03-27-2004,,,OL,2025,1,7,NYJ,[],['f1f6b23c-6628-41f6-9ad0-d7393473e977'],['52a5a716-5352-41be-b7c9-f8eb8a629bef'],https://www.pro-football-reference.com/players/M/MembAr00.htm,NFL
87b4ec77-386a-40b0-ad34-2f50223fb8b8,Tetairoa McMillan,04-05-2003,Waimanalo,HI,WR,2025,1,8,CAR,[],['e8094bc7-cd08-4327-9385-0220e0be7f75'],['12089bb1-5b8d-4747-87cc-2d512cde787e'],https://www.pro-football-reference.com/players/M/McMiTe00.htm,NFL
c46dff59-d666-4d08-8e78-fe8df2ebf707,Kelvin Banks,03-10-2004,,TX,OL,2025,1,9,NOR,[],['f34c5cdb-2bc1-4867-b19b-4203a86bb22d'],['22c28ab5-9289-413c-a76e-64f0be4bf079'],https://www.pro-football-reference.com/players/B/BankKe01.htm,NFL
dfe6edc0-043e-482d-99f7-5bfcb15d4d00,Colston Loveland,04-09-2004,,USA,TE,2025,1,10,CHI,[],['2fa864a6-4599-49ac-a4de-27b015f162e3'],['6933fd67-464e-4a03-aa58-3b09f0a31486'],https://www.pro-football-reference.com/players/L/LoveCo00.htm,NFL
fffdc874-1bad-4fb6-b976-bd9364926057,Mykel Williams,06-29-2004,Warm Springs,GA,DL,2025,1,11,SFO,[],['ced55b08-78c9-40ba-a88e-30fc3a424784'],['c593c4ae-9bf6-4060-9de0-3c2848119edd'],https://www.pro-football-reference.com/players/W/WillMy00.htm,NFL
242df25a-8dc3-41aa-a3a1-e76f8dd88694,Tyler Booker,04-12-2004,New Haven,CT,OL,2025,1,12,DAL,[],['215aa68d-27b6-488a-8ab8-ad10688625f9'],"['26a04580-928f-4cc3-b228-0a89a170ac02', 'f215cd73-0239-4c41-a5ea-c3a7e1b1faf4']",https://www.pro-football-reference.com/players/B/BookTy00.htm,NFL
777689ff-dc44-49fd-a398-1f7bbd7f2e9f,Kenneth Grant,10-27-2003,,,DT,2025,1,13,MIA,[],['2fa864a6-4599-49ac-a4de-27b015f162e3'],['1ae64725-f426-4b54-9d38-409e7be05215'],https://www.pro-football-reference.com/players/G/GranKe01.htm,NFL
d76095e1-8988-4cc0-9279-0330626ee7c4,Tyler Warren,05-24-2002,,,TE,2025,1,14,IND,[],['5dd52c43-cfcc-4b7d-99fc-20541456fdd4'],['cdc9eb76-2c34-44b1-80f5-3d4438f359d4'],https://www.pro-football-reference.com/players/W/WarrTy00.htm,NFL
3433add4-f153-48ec-9fc1-72ad40ebbcde,Jalon Walker,02-24-2004,Conway,SC,DE,2025,1,15,ATL,[],['ced55b08-78c9-40ba-a88e-30fc3a424784'],['eaf414ed-e458-415c-963e-db0b464ce29a'],https://www.pro-football-reference.com/players/W/WalkJa02.htm,NFL
981918d6-04bb-417f-abee-07edbf31f6fa,Walter Nolen,10-14-2003,,,DT,2025,1,16,ARI,[],"['9fedf994-7849-454e-ab79-8253fb6dbf6d', '14802202-ed56-48f6-b500-bb15cf32c30d']","['98fd30da-2a15-4fc3-a7c9-350f3cff5db0', 'e0302779-2773-43fe-9d6d-b3b96d6dcd2c']",https://www.pro-football-reference.com/players/N/NoleWa00.htm,NFL
95f3dd74-d6f4-43c1-8a03-0a4f5a64c627,Shemar Stewart,11-12-2003,,FL,DE,2025,1,17,CIN,[],['9fedf994-7849-454e-ab79-8253fb6dbf6d'],['a4c6c2f1-5d90-4d84-b7eb-1ef04338eaef'],https://www.pro-football-reference.com/players/S/StewSh00.htm,NFL
8a86e8c1-4ff3-44a8-b432-5d44bb6eb0f3,Grey Zabel,03-30-2002,,,OT,2025,1,18,SEA,[],['73e385f6-c8ea-45ff-a9f6-5bab38c43b90'],['b6d22949-e074-4c28-9633-4d169bcdbe70'],https://www.pro-football-reference.com/players/Z/ZabeGr00.htm,NFL
0fd80a08-1249-4110-a45d-9a1f5cbb5f3e,Emeka Egbuka,10-14-2002,Tacoma,WA,WR,2025,1,19,TAM,[],['0205de18-502c-41d9-82e0-0a1f789ded26'],['71685386-4d49-44e7-8340-1bf810973450'],https://www.pro-football-reference.com/players/E/EgbuEm01.htm,NFL
e296f93d-2528-444d-b495-940d57ac5501,Jahdae Barron,12-04-2001,Corpus Christi,TX,CB,2025,1,20,DEN,[],['f34c5cdb-2bc1-4867-b19b-4203a86bb22d'],['3d057979-576e-4e15-a044-776646795a97'],https://www.pro-football-reference.com/players/B/BarrJa01.htm,NFL
3df4482a-27c0-4ef8-9258-3101d3841b64,Derrick Harmon,08-03-2003,Detroit,MI,DT,2025,1,21,PIT,[],"['ff9a31c7-2342-4d65-9986-d886d9f0af68', '9e3c7d08-6507-4fbf-ad52-0733e41e8c52']",['adf01bf6-973c-412b-8aac-f12b69f0d1b1'],https://www.pro-football-reference.com/players/H/HarmDe01.htm,NFL
d1892019-5092-43c7-8e12-b2ef27cc4551,Omarion Hampton,03-16-2003,,,RB,2025,1,22,LAC,[],['060ce1b8-10ba-4fa9-a2ac-3405530f0974'],['5be01ae6-07e7-4d2e-929a-928a80df1ac8'],https://www.pro-football-reference.com/players/H/HampOm00.htm,NFL
75bd1f88-46b1-4f4b-8815-ea5aec8f9277,Matthew Golden,08-01-2003,Houston,TX,WR,2025,1,23,GNB,[],"['961e20a1-2907-4ee2-812c-dbbfe9515fca', 'f34c5cdb-2bc1-4867-b19b-4203a86bb22d']",['c0b962d4-37e3-4b80-8b6e-8e2467396a58'],https://www.pro-football-reference.com/players/G/GoldMa02.htm,NFL
